211,210,55,55,55,0,farol,0,0
117,240,55,55,55,0,farol,0,0
22,40,55,55,55,0,velamesa,0,0
347,30,0,130,8,0,greenskull,0,0
409,150,240,240,255,0,luzmala,0,0
768,0,0,0,0,150,portal,0,0
769,0,0,0,0,150,portal,0,0
770,0,0,0,0,150,portal,0,0
782,0,0,0,0,150,portalusuario,0,0
783,0,0,0,0,90,luz,0,0
1996,0,0,0,0,100,fantasma,0,0
1997,0,0,0,0,100,fantasma,0,0
1001,0,0,0,0,150,brumaazul,0,0
1002,0,0,0,0,150,brumaroja,0,0
1003,0,0,0,0,150,brumaverde,0,0
1004,0,0,0,0,150,brumagris,0,0
1010,0,0,0,0,170,muerto,0,0
